Word,Definition,Example,Synonym,Antonym
flout,"Openly disregard (a rule, law, or convention)",‘retailers have been flouting the law by selling tobacco to under-16s’,", refuse to obey, go against, rebel against, scorn, disdain, show contempt for, fly in the face of, thumb one's nose at, make a fool of, poke fun at",observe
foment,Instigate or stir up (an undesirable or violent sentiment or course of action),‘they were accused of fomenting civil unrest’,", incite, provoke, agitate, excite, stir up, whip up, arouse, inspire, encourage, urge, actuate, initiate, generate, cause, prompt, start, bring about, kindle, spark off, trigger off, touch off, fan the flames of",
forestall,Prevent or obstruct (an anticipated event or action) by taking advance action.,‘they will resign to forestall a vote of no confidence’,", get in before, get ahead of, steal a march on, anticipate, second-guess, nip in the bud, thwart, frustrate, foil, stave off, ward off, fend off, avert, preclude, obviate, prevent, intercept, check, block, hinder, impede, obstruct",
frugality,The quality of being economical with money or food; thriftiness.,‘he was known for his frugality and modesty’,", carefulness, scrimping and saving, conservation, good management",extravagance
futile,Incapable of producing any useful result; pointless.,‘I wore my cape in a futile attempt to keep dry’,", vain, pointless","useful, fruitful"
gainsay,Deny or contradict (a fact or statement),‘it was difficult to gainsay his claim’,", dispute, disagree with, argue with, dissent from, contradict, repudiate, declare untrue, challenge, oppose, contest, counter, fly in the face of",confirm
garrulous,"Excessively talkative, especially on trivial matters.",‘a garrulous old man who chattered like a magpie’,", loquacious, voluble, verbose, long-winded, chatty, chattery, chattering, gossipy, gossiping, babbling, blathering, prattling, prating, jabbering, gushing, effusive, expansive, forthcoming, conversational, communicative","taciturn, reticent"
goad,Provoke or annoy (someone) so as to stimulate an action or reaction.,‘he applied his goad energetically to the cattle's hindquarters’,", spiked stick, spike, staff, crook, pole, rod",
gouge,"A chisel with a concave blade, used in carpentry, sculpture, and surgery.",‘a tunnel had been gouged out of the mountain’,", burrow, burrow out, hollow out, excavate",
grandiloquent,"Pompous or extravagant in language, style, or manner, especially in a way that is intended to impress.",‘their grandiloquent phrases failed to convince me’,", bombastic, magniloquent, pretentious, ostentatious, high-flown, high-sounding, rhetorical, orotund, fustian, florid, flowery","unpretentious, concise"
gregarious,(of a person) fond of company; sociable.,‘he was fun-loving and gregarious’,", social, company-loving, companionable, convivial, clubbable","unsociable, reserved"
guileless,Devoid of guile; innocent and without deception.,‘Paulette's questioning had the guileless innocence of a child’,", ingenuous, open, honest, sincere, genuine, naive, natural, simple, childlike, innocent, unsophisticated, unworldly, unsuspicious, trustful, trusting",scheming
gullible,Easily persuaded to believe something; credulous.,‘the swindler preyed upon gullible old women’,", over-trusting, over-trustful, trustful, easily deceived, easily led, easily taken in, exploitable, dupable, deceivable, impressionable, unsuspecting, unsuspicious, unwary, unguarded, unsceptical, ingenuous, naive, innocent, simple, inexperienced, unworldly, green, as green as grass, childlike, ignorant","cynical, suspicious"
harangue,A lengthy and aggressive speech.,‘father began a harangue about my monstrous behaviour’,", lecture, diatribe, homily, polemic, rant, fulmination, broadside, verbal attack, verbal onslaught, invective",panegyric
homogeneous,Of the same kind; alike.,‘the elderly are far from a homogeneous group’,", identical, unvaried, unvarying, consistent, similar, undistinguishable",heterogeneous
hyperbole,Exaggerated statements or claims not meant to be taken literally.,‘the media hyperbole which accompanied their European Championship match’,", overstatement, magnification, amplification, embroidery, embellishment, overplaying, excess, overkill",understatement
iconoclastic,Criticizing or attacking cherished beliefs or institutions.,"‘a fresh, even an iconoclastic, influence could work wonders’",", sceptical, questioning",conformist
idolatry,The worship of idols.,‘Jeremiah preached against idolatry’,", idolatrism, fetishism, iconolatry, icon worship",vilification
immutable,Unchanging over time or unable to be changed.,‘a precise and immutable set of rules’,", fixed, set, rigid, inflexible, unyielding, unbending, permanent, entrenched, established, well-established, unshakeable, irremovable, indelible, ineradicable",variable
impair,"Weaken or damage (something, especially a faculty or function)",‘even one drink can impair driving performance’,", harm, diminish, reduce, weaken, lessen, decrease, blunt, impede, hinder, mar, spoil, disable","improve, enhance"
impassive,Not feeling or showing emotion.,"‘she smiled at him, but his features remained impassive’",", unexpressive, inexpressive, inscrutable, blank, deadpan, poker-faced, straight-faced, dispassionate",expressive
impede,Delay or prevent (someone or something) by obstructing them; hinder.,‘the programme has been impeded by several problems’,", obstruct, hamper, handicap, hold back, hold up, delay, interfere with, disrupt, retard, slow, slow down, brake, put a brake on, restrain, fetter, shackle, hamstring, cramp, cripple",facilitate
impermeable,Not allowing fluid to pass through.,‘the product is packaged in impermeable containers’,", waterproof, damp-proof, water-resistant, water-repellent, airtight, tight, sealed, hermetically sealed, closed",permeable
imperturbable,Unable to be upset or excited; calm.,"‘my father was a solid, imperturbable man’",", composed, collected, calm, cool, calm, and collected, as cool as a cucumber, cool-headed, self-controlled, poised, tranquil, serene, relaxed, easy-going, unexcitable, even-tempered, placid, sedate, phlegmatic","edgy, excitable"
impervious,Not allowing fluid to pass through.,‘he seemed impervious to the chill wind’,", untouched by, immune to, invulnerable to, insusceptible to, not susceptible to, proof against, unreceptive to, closed to, resistant to, indifferent to, heedless of, unresponsive to, oblivious to, unmoved by, deaf to","receptive to, susceptible to"
implacable,Unable to be appeased or placated.,‘he was their most implacable critic’,", unpacifiable, unplacatable, unmollifiable, unforgiving, unsparing, grudge-holding",
implicit,Suggested though not directly expressed.,‘the implicit assumptions of much sociological writing on women’,", indirect, inferred, understood, hinted, suggested, deducible","explicit, direct"
implode,Collapse or cause to collapse violently inwards.,,,
inadvertently,Without intention; accidentally.,‘his name had been inadvertently omitted from the list’,", by accident, unintentionally, unwittingly",deliberately
inchoate,Just begun and so not fully formed or developed; rudimentary.,,,
incongruity,The state of being incongruous; incompatibility.,‘the incongruity of his fleshy face and skinny body disturbed her’,", incongruousness, unsuitability, lack of harmony, discordance, inharmoniousness, dissonance, incompatibility, inconsistency, difference, disparity, discrepancy, irreconcilability",appropriateness
inconsequential,Not important or significant.,‘inconsequential scraps of information’,", unimportant, of little importance, of no importance, of little consequence, of no consequence, of little account, of no account, of no moment, neither here nor there, incidental, inessential, non-essential, immaterial, irrelevant","significant, important"
incorporate,Take in or contain (something) as part of a whole; include.,‘part of Ukraine was incorporated into Moldavian territory’,", include, subsume, assimilate, integrate, take in, swallow up, engulf, consolidate",separate
indeterminate,"Not exactly known, established, or defined.",‘a woman of indeterminate age’,", undefined, unspecified, unfixed, unsettled, indefinite, unknown, uncounted, uncertain, unpredictable",known
indigence,A state of extreme poverty; destitution.,‘he did valuable work towards the relief of indigence’,", penury, impoverishment, impecuniousness, impecuniosity, destitution, pennilessness, privation, hand-to-mouth existence, pauperism",wealth
indolent,Wanting to avoid activity or exertion; lazy.,‘the pub is full of indolent young men’,", idle, slothful, loafing, work-shy, shiftless, apathetic, lackadaisical, inactive, inert, lifeless, sluggish, lethargic, listless, languid, torpid, slow, slow-moving, dull, plodding","industrious, energetic"
inert,Lacking the ability or strength to move.,‘she lay inert in her bed’,", motionless, immobile, still, stock-still, stationary, static, dormant, sleeping","moving, active"
ingenuous,(of a person or action) innocent and unsuspecting.,"‘he looked at her with wide, ingenuous eyes’",", innocent, simple, childlike, trusting, trustful, over-trusting, unwary, unsuspicious, unguarded, unsceptical, uncritical, unworldly, wide-eyed, inexperienced, green","disingenuous, artful"
inherent,"Existing in something as a permanent, essential, or characteristic attribute.",‘his belief in the inherent goodness of man’,", innate, immanent, built-in, inborn, ingrained, deep-rooted","acquired, alien"
innocuous,Not harmful or offensive.,‘an innocuous fungus that grows on trees’,", safe, non-dangerous, non-poisonous, non-toxic, non-irritant, non-injurious, innocent",harmful
insensible,"Without one's mental faculties, typically as a result of injury or intoxication; unconscious.",‘I found her insensible on the floor’,", insensate, senseless, insentient, comatose, knocked out, passed out, blacked out, inert, stupefied, stunned","conscious, responsive"
insinuate,Suggest or hint (something bad) in an indirect and unpleasant way.,‘he insinuated that she lied’,", suggest, hint, intimate, whisper, indicate, convey the impression, give a clue, give an inkling, allude to the fact, make reference to the fact, let it be known, give someone to understand, give someone to believe",
insipid,Lacking flavour; weak or tasteless.,‘they drank endless mugs of insipid coffee’,", flavourless, unflavoured, savourless, bland, weak, thin, watery, watered-down, unappetizing, unpalatable",tasty
insularity,"Ignorance of or lack of interest in cultures, ideas, or peoples outside one's own experience.",‘he was untrammelled by the insularity which bedevilled the art world’,", blinkered approach, blinkered attitude, parochialism, provincialism, localism, narrowness, small-mindedness, pettiness, short-sightedness, myopia, inflexibility, dogmatism, illiberality, intolerance, prejudice, bigotry, bias, partisanship, sectarianism, xenophobia, discrimination","broad-mindedness, tolerance"
intractable,Hard to control or deal with.,‘their problems have become more acute and intractable’,", uncontrollable, ungovernable, out of control, out of hand, impossible to cope with",manageable
intransigence,Refusal to change one's views or to agree about something.,,,
inundate,Overwhelm (someone) with things or people to be dealt with.,‘many buildings were inundated’,", deluge, overflow, overrun, swamp, submerge, engulf, drown, immerse, cover",
inured,,,,
invective,"Insulting, abusive, or highly critical language.",‘she poured forth a string of invective’,", insults, vituperation, expletives, swear words, swearing, curses, bad language, foul language",praise
irascible,Having or showing a tendency to be easily angered.,‘an irascible young man’,", quick-tempered, short-tempered, bad-tempered, ill-tempered, hot-tempered, thin-skinned, snappy, snappish, tetchy, testy, touchy, edgy, crabby, waspish, dyspeptic",
irresolute,Showing or feeling hesitancy; uncertain.,‘she stood irresolute outside his door’,", hesitant, tentative, nervous, weak",decisive
itinerary,A planned route or journey.,‘the ancient university town of Cambridge should be on every visitor's itinerary’,", route, journey, way, road, path, course",
laconic,"(of a person, speech, or style of writing) using very few words.",‘his laconic comment’,", concise, terse, succinct, short, economical, elliptical, crisp, pithy, to the point, incisive, short and sweet, compendious","verbose, long-winded"
lassitude,A state of physical or mental weariness; lack of energy.,‘prolonged periods of lassitude which she ascribed to the heat’,", listlessness, weariness, languor, sluggishness, enervation, tiredness, exhaustion, fatigue, sleepiness, drowsiness, torpor, torpidity, ennui, lifelessness, sloth, apathy","vigour, energy"
latent,(of a quality or state) existing but not yet developed or manifest; hidden or concealed.,‘they have a huge reserve of latent talent’,", quiescent, inactive, untapped, unused","manifest, obvious, active"
laud,Praise (a person or their achievements) highly.,‘the single was lauded by the music press’,", extol, hail, applaud, acclaim, commend, admire, approve of, make much of, sing the praises of, lionize, speak highly of, pay homage to, pay tribute to, eulogize, sing paeans to","condemn, criticize"
lethargic,Affected by lethargy; sluggish and apathetic.,‘she became depressed and lethargic’,", inert, inactive, slow, torpid, lifeless, dull","vigorous, energetic, animated"
levee,An embankment built to prevent the overflow of a river.,,,
levity,The treatment of a serious matter with humour or lack of due respect.,‘he did much to inject a note of levity into a very hard-working production cycle’,", carefreeness, light-mindedness, high spirits, vivacity, liveliness, conviviality, cheerfulness, cheeriness, humour, gaiety, fun, jocularity, hilarity, frivolity, frivolousness, amusement, mirth, laughter, merriment, glee, comedy, funniness, wit, wittiness, jollity, joviality, joking, drollery, good cheer, sportiveness, nonsense, irreverence, facetiousness, flippancy, blitheness, triviality, silliness, foolishness, childishness, giddiness, skittishness","seriousness, gravity"
log,A part of the trunk or a large branch of a tree that has fallen or been cut off.,‘she tripped over a fallen log’,", branch, tree trunk, bole, stump",
loquacious,Tending to talk a great deal; talkative.,‘he was a loquacious and precocious boy’,", garrulous, voluble, over-talkative, long-winded, wordy, verbose, profuse, prolix, effusive, gushing, rambling","reticent, taciturn"
lucid,Expressed clearly; easy to understand.,‘a lucid introduction to the philosophy of mind’,", comprehensible, understandable, cogent, coherent, communicative, articulate, eloquent","confusing, unclear, ambiguous"
luminous,Giving off light; bright or shining.,‘a cluster of luminous stars’,", bright, brilliant, radiant, dazzling, glowing, gleaming, coruscating, scintillating, lustrous, luminescent, phosphorescent, incandescent",dark
magnanimity,The fact or condition of being magnanimous; generosity.,‘Herbert's magnanimity in making do with the smaller bedroom’,", charitableness, charity, benevolence, beneficence, open-handedness, big-heartedness, great-heartedness, liberality, humanity, nobility, chivalry, kindness, munificence, bountifulness, bounty, largesse, altruism, philanthropy","meanness, selfishness"
malingerer,A person who malingers; a shirker.,‘patients for whom no specific diagnosis can be made tend to be regarded as malingerers’,", slacker, idler, layabout",
malleable,(of a metal or other material) able to be hammered or pressed into shape without breaking or cracking.,‘a malleable substance’,", ductile, plastic, pliant, soft, workable, shapable, mouldable, tractile, tensile",hard
maverick,An unorthodox or independent-minded person.,‘he was too much of a maverick to fit into any formal organization’,", nonconformist, free spirit, unorthodox person, unconventional person, original, trendsetter, bohemian, eccentric, outsider",conformist
mendacious,Not telling the truth; lying.,‘mendacious propaganda’,", untruthful, dishonest, deceitful, false, dissembling, insincere, disingenuous, hypocritical, fraudulent, double-dealing, two-faced, Janus-faced, two-timing, duplicitous, perjured, perfidious",truthful
metamorphosis,(in an insect or amphibian) the process of transformation from an immature form to an adult form in two or more distinct stages.,,", mutation, transmutation, transfiguration, change, alteration, conversion, variation, modification, remodelling, restyling, reconstruction, reordering, reorganization, sea change",
meticulous,Showing great attention to detail; very careful and precise.,‘meticulous attention to detail’,", conscientious, diligent, ultra-careful, scrupulous, punctilious, painstaking, demanding, exacting, accurate, correct","careless, sloppy, slapdash"
misanthrope,A person who dislikes humankind and avoids human society.,,", cynic, sceptic, churl, grouch, grump, recluse, hermit, anchorite",
mitigate,"Make (something bad) less severe, serious, or painful.",‘drugs which mitigated the worst symptoms of the disease’,", reduce, diminish, lessen, weaken, lighten, attenuate, take the edge off, allay, ease, assuage, palliate, cushion, damp, deaden, dull, appease, soothe, relieve, help, soften, temper, still, quell, quieten, quiet, tone down, blunt, dilute, moderate, modify, abate, lull, pacify, placate, mollify, sweeten, tranquillize, remit, extenuate, excuse, commute","aggravate, increase, intensify"
mollify,Appease the anger or anxiety of (someone),‘nature reserves were set up to mollify local conservationists’,", placate, pacify, conciliate, humour, soothe, calm, calm down, still, quieten, propitiate",enrage
morose,Sullen and ill-tempered.,"‘Louis sat alone at a table, looking morose’",", sulky, gloomy, bad-tempered, ill-tempered, in a bad mood, dour, surly, sour, glum, moody, unsmiling, humourless, uncommunicative, taciturn, unresponsive, unsociable, scowling, glowering, ill-humoured, sombre, sober, saturnine, pessimistic, lugubrious, Eeyorish, mournful, melancholy, melancholic, doleful, miserable, dismal, depressed, dejected, despondent, downcast, unhappy, low-spirited, in low spirits, low, with a long face, blue, down, fed up, grumpy, irritable, churlish, cantankerous, crotchety, cross, crabbed, crabby, grouchy, testy, snappish, peevish, crusty, waspish","cheerful, happy, communicative"
mundane,Lacking interest or excitement; dull.,‘the mundane aspects of daily life’,", dull, boring, tedious, monotonous, tiresome, wearisome, prosaic, unexciting, uninteresting, uneventful, unvarying, unvaried, unremarkable, repetitive, repetitious, routine, ordinary, everyday, day-to-day, quotidian, run-of-the-mill, commonplace, common, workaday, usual, pedestrian, customary, regular, normal","extraordinary, imaginative"
negate,Make ineffective; nullify.,‘legislators immediately took steps to negate the effects of the Court's ruling’,", nullify, render null and void, render invalid, make ineffective, neutralize, cancel, cancel out","confirm, support, validate"
neophyte,A person who is new to a subject or activity.,‘a neophyte of the monastery of St James’,", novitiate",
obdurate,Stubbornly refusing to change one's opinion or course of action.,‘I argued with him but he was obdurate’,", obstinate, unyielding, unbending, inflexible, intransigent, implacable, pig-headed, bull-headed, mulish, stiff-necked, headstrong, wilful, unshakeable, unmalleable, intractable, unpersuadable, unrelenting, relentless, immovable, inexorable, uncompromising, hard, stony, iron, iron-willed, adamant, firm, fixed, determined","amenable, compliant, malleable, tractable"
obsequious,Obedient or attentive to an excessive or servile degree.,‘an obsequious manservant welcomed them’,", ingratiating, unctuous, sycophantic, fawning, toadying, oily, oleaginous, greasy, grovelling, cringing, toadyish, sycophantish, subservient, submissive, slavish, abject, Uriah Heepish",domineering
obviate,Remove (a need or difficulty),‘the settlement obviated the need for the separate cases to be heard in court’,", prevent, remove, get rid of, do away with, get round, rule out, eliminate, make unnecessary, take away, foreclose, avoid, avert, counter",
occlude,"Stop, close up, or obstruct (an opening, orifice, or passage)",‘thick make-up can occlude the pores’,", block up, stop, stop up, obstruct, clog, clog up, close, shut, fill, bung up, choke, seal, plug",
officious,"Assertive of authority in a domineering way, especially with regard to trivial matters.",‘an officious maître d' told him to wait at the bar’,", bumptious, self-assertive, overbearing, overzealous, dictatorial, bossy, domineering, interfering, intrusive, meddlesome, meddling, importunate, forward, opinionated",self-effacing
onerous,"(of a task or responsibility) involving a great deal of effort, trouble, or difficulty.",‘the task proved to be more onerous than she had expected’,", heavy, inconvenient, troublesome, awkward, crushing, back-breaking, oppressive","easy, effortless"
opprobrium,Harsh criticism or censure.,‘the government endured months of opprobrium’,", abuse, vituperation, condemnation, criticism, censure, castigation, denunciation, defamation, denigration, disparagement, obloquy, derogation, slander, revilement, reviling, calumny, calumniation, execration, excoriation, lambasting, upbraiding, bad press, character assassination, attack, invective, libel, insults, aspersions",praise
oscillate,Move or swing back and forth in a regular rhythm.,‘the pendulum started to oscillate’,", sway, swing from side to side, swing back and forth, swing backwards and forwards, swing to and fro, vibrate",
ostentatious,Characterized by pretentious or showy display; designed to impress.,‘an ostentatious display of wealth’,", pretentious, conspicuous, obtrusive, flamboyant, gaudy, garish, tinsel, tinselly, brash, vulgar, loud, extravagant, fancy, ornate, affected, theatrical, actorly, overdone, over-elaborate, kitsch, tasteless","plain, unobtrusive, restrained, modest"
paragon,A person or thing regarded as a perfect example of a particular quality.,‘a paragon of fortitude and cheerfulness’,", shining example, good example, model, epitome, archetype, ideal, exemplar, nonpareil, paradigm, embodiment, personification, quintessence, standard, prototype, apotheosis, the crème de la crème, the beau idéal, acme",
partisan,"A strong supporter of a party, cause, or person.",‘Conservative partisans claimed that television news was biased against their party’,", follower, adherent, devotee, champion, backer, upholder, promoter, fanatic, fan, enthusiast, stalwart, zealot, disciple, votary","impartial, unbiased"
pate,A person's head.,,,
pathological,Relating to pathology.,‘a pathological condition’,", diseased",
paucity,The presence of something in only small or insufficient quantities or amounts.,‘a paucity of evidence’,", sparseness, sparsity, dearth, shortage, rarity, rareness, poverty, insufficiency, deficiency, inadequacy, famine, lack, want, meagreness, limitedness, scantiness, skimpiness, paltriness, restrictedness, deficit, shortfall",abundance
pedantic,Excessively concerned with minor details or rules; overscrupulous.,‘a pedantic interpretation of the rules’,", scrupulous, precise, exact, over-exacting, perfectionist, precisionist, punctilious, meticulous, fussy, fastidious, finical, finicky",
penchant,A strong or habitual liking for something or tendency to do something.,‘he has a penchant for champagne’,", fondness, preference, taste, relish, appetite, partiality, soft spot, love, passion, desire, fancy, whim, weakness, inclination, bent, bias, proclivity, predilection, predisposition, affinity",
penury,The state of being very poor; extreme poverty.,,", extreme poverty, pennilessness, impecuniousness, impoverishment, indigence, need, neediness, want, destitution, privation, deprivation, hardship, beggary, bankruptcy, insolvency, ruin, reduced circumstances, straitened circumstances","wealth, affluence"
perennial,Lasting or existing for a long or apparently infinite time; enduring or continually recurring.,‘the perennial fascination with crime’,", perpetual, eternal, continuing, unending, never-ending, endless, undying, ceaseless, abiding, enduring, lasting, persisting, permanent, constant, continual, unfailing, unchanging, never-changing",
perfidious,Deceitful and untrustworthy.,‘a perfidious lover’,", duplicitous, deceitful, disloyal, faithless, unfaithful, traitorous, treasonous, false, untrue, double-dealing, dishonest, two-faced, Janus-faced, untrustworthy","faithful, loyal"
perfunctory,"(of an action) carried out without real interest, feeling, or effort.",‘the guards gave a perfunctory look up and down the carriage’,", desultory","careful, thorough"
permeable,(of a material or membrane) allowing liquids or gases to pass through it.,,", pervious, penetrable, spongy, absorbent, absorptive","impermeable, watertight"
pervasive,(especially of an unwelcome influence or physical effect) spreading widely throughout an area or a group of people.,‘a pervasive smell of staleness’,", penetrating, pervading, permeating, extensive, ubiquitous, omnipresent, present everywhere, rife, widespread, general, common, universal, pandemic, epidemic, endemic, inescapable, insidious",
phlegmatic,(of a person) having an unemotional and stolidly calm disposition.,‘a phlegmatic attitude to every crisis’,", calm, cool, composed, cool, calm, and collected, cool-headed, controlled, serene, tranquil, placid, impassive, self-possessed, self-confident, self-assured, stolid, imperturbable, unruffled, poised, level-headed, dispassionate, philosophical","excitable, quick-tempered"
piety,The quality of being religious or reverent.,‘the piety of a saint’,", devotion, piousness, religiousness, religion, holiness, godliness, sanctity, sanctitude, saintliness, devotion to God, veneration, reverence, faith, religious duty, spirituality, sacredness, religious zeal, fervour, pietism, religiosity",impiety
placate,Make (someone) less angry or hostile.,‘John did his best to placate her’,", calm, calm down, appease, mollify, soothe, win over, quiet, conciliate, propitiate, make peace with, humour","provoke, anger"
plasticity,The quality of being easily shaped or moulded.,‘the plasticity of the clay’,", softness, pliancy, pliability, flexibility, suppleness, ductility",
platitude,"A remark or statement, especially one with a moral content, that has been used too often to be interesting or thoughtful.",‘a string of empty platitudes’,", truism, commonplace, banal saying, hackneyed saying, overworked saying, trite saying, banality, old chestnut",
plethora,A large or excessive amount of something.,‘a plethora of newspaper opinion polls’,", abundance, overabundance, superfluity, surfeit, profusion, more than enough, too many, too much, enough and to spare, superabundance, surplus, glut, flood, torrent, deluge, embarrassment","dearth, lack"
plummet,Fall or drop straight down at high speed.,‘the plane plummeted to the ground’,", fall headlong, hurtle, nosedive, dive, drop, crash, descend rapidly",
porous,(of a rock or other material) having minute interstices through which liquid or air may pass.,,", penetrable, pervious",impermeable
pragmatic,Dealing with things sensibly and realistically in a way that is based on practical rather than theoretical considerations.,‘my father was entirely pragmatic in his response to difficult situations’,", matter-of-fact, realistic, sensible, down-to-earth, commonsensical, hard-headed, expedient, businesslike, with both feet on the ground, with one's feet on the ground, rational, reasonable, no-nonsense, unsentimental, unidealistic","impractical, unrealistic, idealistic"
preamble,A preliminary or preparatory statement; an introduction.,‘Lord Denning's preamble to the report’,", opening remarks, preliminary remarks, preparatory remarks, opening statement, preliminary statement, preparatory statement, preliminaries, preface, lead-in, overture, prologue",
precarious,Not securely held or in position; dangerously likely to fall or collapse.,‘the club's precarious financial position’,", insecure, unreliable, unsure, unpredictable, undependable, risky, hazardous, dangerous, unsafe, hanging by a thread, hanging in the balance, perilous, treacherous, on a slippery slope, on thin ice, touch-and-go, built on sand, doubtful, dubious, delicate, tricky, problematic","safe, secure"
precipitate,"Cause (an event or situation, typically one that is undesirable) to happen suddenly, unexpectedly, or prematurely.",‘the incident precipitated a political crisis’,", bring on, cause, lead to, occasion, give rise to, trigger, spark, touch off, provoke, hasten, accelerate, expedite, speed up, advance, quicken, push forward, further, instigate, induce",
precursor,A person or thing that comes before another of the same kind; a forerunner.,‘the precursors of the Expressionist movement’,", predecessor, forefather, father, parent, antecedent, ancestor, forebear, progenitor",
presumptuous,(of a person or their behaviour) failing to observe the limits of what is permitted or appropriate.,‘it's rather presumptuous to judge my character on such short acquaintance’,", overconfident, arrogant, egotistical, overbold, bold, audacious, pert, forward, familiar, impertinent, fresh, free, insolent, impudent, cocksure","timid, unassuming"
prevaricate,Speak or act in an evasive way.,‘he seemed to prevaricate when journalists asked pointed questions about his involvement’,", beat about the bush, hedge, fence, shilly-shally, shuffle, dodge, dodge the issue, sidestep, sidestep the issue, pussyfoot, equivocate, be non-committal, parry questions, be vague, vacillate, quibble, cavil, lie",
pristine,In its original condition; unspoilt.,‘a pristine white handkerchief’,", in perfect condition, perfect, in mint condition, as new, unspoilt, spotless, flawless, clean, fresh, new, virgin, pure, unused","dirty, sullied"
probity,The quality of having strong moral principles; honesty and decency.,‘the chancellor exuded competence and fiscal probity’,", honesty, uprightness, decency, morality, rectitude, goodness, virtue, right-mindedness, trustworthiness, truthfulness, honour, honourableness, justice, fairness, equity",untrustworthiness
problematic,Constituting or presenting a problem.,‘the piece is among the most problematic of all his major works’,", hard, problematical, taxing, troublesome, tricky, awkward, controversial, ticklish, complicated, complex, knotty, thorny, prickly, involved, intricate, vexed","easy, simple, straightforward"
prodigal,Spending money or using resources freely and recklessly; wastefully extravagant.,‘prodigal habits die hard’,", extravagant, spendthrift, improvident, imprudent, immoderate, profligate, thriftless, excessive, intemperate, irresponsible, self-indulgent, reckless, wanton","thrifty, economical, parsimonious"
profound,"(of a state, quality, or emotion) very great or intense.",‘a sigh of profound relief’,", intense, keen, great, very great, extreme, sincere, earnest, deep, deepest, deeply felt, wholehearted, acute, overpowering, overwhelming, deep-seated, deep-rooted, fervent, ardent","superficial, mild"
prohibitive,(of a law or rule) forbidding or restricting something.,‘production costs have been prohibitive’,", extortionate, excessive, exorbitant, sky-high, preposterous, outrageous, scandalous, out of the question, beyond one's means, more than one can afford, unreasonable, impossible, overinflated",
proliferate,Increase rapidly in number; multiply.,‘the debate continued and articles in the media proliferated’,", grow rapidly, multiply, become more numerous, mushroom, snowball, burgeon, escalate, rocket, run riot","decrease, dwindle"
propensity,An inclination or natural tendency to behave in a particular way.,‘her propensity to jump to conclusions’,", inclination, predisposition, proneness, proclivity, readiness, susceptibility, liability, disposition",
propitiate,"Win or regain the favour of (a god, spirit, or person) by doing something that pleases them.",‘George's attempt to propitiate his father did not succeed’,", placate, mollify, pacify, make peace with, conciliate, make amends to, soothe, calm, humour, win over, satisfy",
propriety,Conformity to conventionally accepted standards of behaviour or morals.,‘he always behaves towards me with the utmost propriety’,", respectability, decency, correctness, appropriateness, good manners, courtesy, politeness, rectitude, civility, modesty, demureness","impropriety, indecorum"
proscribe,"Forbid, especially by law.",‘gambling was proscribed’,", prohibit, ban, bar, disallow, rule out, embargo, veto, make illegal, interdict, outlaw, taboo","allow, permit"
pungent,Having a sharply strong taste or smell.,‘the pungent smell of the horses’,", powerful, pervasive, penetrating, suffocating, stifling","bland, mild"
qualified,Officially recognized as being trained to perform a particular job; certified.,‘he was a fully qualified engineer’,", certificated, chartered, licensed, professional",
quibble,A slight objection or criticism about a trivial matter.,"‘apart from that quibble, it was fine’",", trivial objection, trivial complaint, adverse comment, protest, query, argument, exception, moan, grumble, grouse, cavil",
quiescent,In a state or period of inactivity or dormancy.,‘the volcano is in a quiescent state’,", inert, latent, fallow, passive, idle, at rest, inoperative, deactivated, in abeyance, quiet",active
rarefied,"(of air, especially that at high altitudes) of lower pressure than usual; thin.",‘the academic or rarefied nature of much of their work’,", exclusive, select, private, cliquish",commonplace
recalcitrant,Having an obstinately uncooperative attitude towards authority or discipline.,‘a class of recalcitrant fifteen-year-olds’,", obstinately disobedient, intractable, unmanageable, ungovernable, refractory, insubordinate, defiant, rebellious, mutinous, wilful, wayward, headstrong, self-willed, contrary, perverse, difficult, awkward, obdurate","amenable, docile, compliant"
recant,"Say that one no longer holds an opinion or belief, especially one considered heretical.","‘he was forced to recant his position, and was subjected to imprisonment’",", forswear, disavow, deny, repudiate, renege on, abjure, relinquish, abandon",reaffirm
recluse,A person who lives a solitary life and tends to avoid other people.,‘a religious recluse’,", ascetic",
recondite,(of a subject or knowledge) little known; abstruse.,‘the recondite realms of Semitic philology’,", abstruse, arcane, esoteric, little known, recherché, abstract, deep, profound, cryptic, difficult, complex, complicated, involved","straightforward, simple, familiar"
refractory,Stubborn or unmanageable.,‘a refractory child’,", stubborn, stubborn as a mule, mulish, bull-headed, pig-headed, obdurate, headstrong, self-willed, wayward, wilful, perverse, contrary, recalcitrant, obstreperous, disobedient, insubordinate, rebellious, mutinous, defiant, stiff-necked, intractable, intransigent, unyielding, unmalleable, unmanageable, ungovernable, unpersuadable","obedient, manageable"
refute,Prove (a statement or theory) to be wrong or false; disprove.,‘attempts to refute Einstein's theory of relativity’,", prove false, prove wrong, prove to be false, prove to be wrong, show to be false, show to be wrong, rebut, confute, give the lie to, demolish, explode, debunk, drive a coach and horses through, discredit, invalidate",confirm
relegate,Assign an inferior rank or position to.,‘she was relegated to the status of mere spokesperson’,", lower, lower in rank, lower in status, put down, move down","upgrade, promote"
